Number,Name,Color,Radius
-1,Unknown,"[0,255,0]",0.2
1,H,"[255,255,255]",0.11
2,He,"[217,255,255]",0.12
3,Li,"[204,128,255]",0.13
4,Be,"[194,255,0]",0.14
5,B,"[255,181,181]",0.15
6,C,"[144,144,144]",0.16
7,N,"[48,80,248]",0.17
8,O,"[255,13,13]",0.18
9,F,"[144,224,80]",0.19
10,Ne,"[179,227,245]",0.2
11,Na,"[171,92,242]",0.21
12,Mg,"[138,255,0]",0.22
13,Al,"[191,166,166]",0.23
14,Si,"[240,200,160]",0.24
15,P,"[255,128,0]",0.25
16,S,"[255,255,48]",0.26
17,Cl,"[31,240,31]",0.27
18,Ar,"[128,209,227]",0.28
19,K,"[143,64,212]",0.29
20,Ca,"[61,255,0]",0.3
21,Sc,"[230,230,230]",0.31
22,Ti,"[191,194,199]",0.32
23,V,"[166,166,171]",0.33
24,Cr,"[138,153,199]",0.34
25,Mn,"[156,122,199]",0.35
26,Fe,"[224,102,51]",0.36
27,Co,"[240,144,160]",0.37
28,Ni,"[80,208,80]",0.38
29,Cu,"[200,128,51]",0.39
30,Zn,"[125,128,176]",0.4
31,Ga,"[194,143,143]",0.41
32,Ge,"[102,143,143]",0.42
33,As,"[189,128,227]",0.43
34,Se,"[255,161,0]",0.44
35,Br,"[166,41,41]",0.45
36,Kr,"[92,184,209]",0.46
37,Rb,"[112,46,176]",0.47
38,Sr,"[0,255,0]",0.48
39,Y,"[148,255,255]",0.49
40,Zr,"[148,224,224]",0.5
41,Nb,"[115,194,201]",0.51
42,Mo,"[84,181,181]",0.52
43,Tc,"[59,158,158]",0.53
44,Ru,"[36,143,143]",0.54
45,Rh,"[10,125,140]",0.55
46,Pd,"[0,105,133]",0.56
47,Ag,"[192,192,192]",0.57
48,Cd,"[255,217,143]",0.58
49,In,"[166,117,115]",0.59
50,Sn,"[102,128,128]",0.6
51,Sb,"[158,99,181]",0.61
52,Te,"[212,122,0]",0.62
53,I,"[148,0,148]",0.63
54,Xe,"[66,158,176]",0.64
55,Cs,"[87,23,143]",0.65
56,Ba,"[0,201,0]",0.66
57,La,"[112,212,255]",0.67
58,Ce,"[255,255,199]",0.68
59,Pr,"[217,255,199]",0.69
60,Nd,"[199,255,199]",0.7
61,Pm,"[163,255,199]",0.71
62,Sm,"[143,255,199]",0.72
63,Eu,"[97,255,199]",0.73
64,Gd,"[69,255,199]",0.74
65,Tb,"[48,255,199]",0.75
66,Dy,"[31,255,199]",0.76
67,Ho,"[0,255,156]",0.77
68,Er,"[0,230,117]",0.78
69,Tm,"[0,212,82]",0.79
70,Yb,"[0,191,56]",0.8
71,Lu,"[0,171,36]",0.81
72,Hf,"[77,194,255]",0.82
73,Ta,"[77,166,255]",0.83
74,W,"[33,148,214]",0.84
75,Re,"[38,125,171]",0.85
76,Os,"[38,102,150]",0.86
77,Ir,"[23,84,135]",0.87
78,Pt,"[208,208,224]",0.88
79,Au,"[255,209,35]",0.89
80,Hg,"[184,184,208]",0.9
81,Tl,"[166,84,77]",0.91
82,Pb,"[87,89,97]",0.92
83,Bi,"[158,79,181]",0.93
84,Po,"[171,92,0]",0.94
85,At,"[117,79,69]",0.95
86,Rn,"[66,130,150]",0.96
87,Fr,"[66,0,102]",0.97
88,Ra,"[0,125,0]",0.98
89,Ac,"[112,171,250]",0.99
90,Th,"[0,186,255]",1
91,Pa,"[0,161,255]",1.01
92,U,"[0,143,255]",1.02
93,Np,"[0,128,255]",1.03
94,Pu,"[0,107,255]",1.04
95,Am,"[84,92,242]",1.05
96,Cm,"[120,92,227]",1.06
97,Bk,"[138,79,227]",1.07
98,Cf,"[161,54,212]",1.08
99,Es,"[179,31,212]",1.09
100,Fm,"[179,31,186]",1.1
101,Md,"[179,13,166]",1.11
102,No,"[189,13,135]",1.12
103,Lr,"[199,0,102]",1.13
104,Rf,"[204,0,89]",1.14
105,Db,"[209,0,79]",1.15
106,Sg,"[217,0,69]",1.16
107,Bh,"[224,0,56]",1.17
108,Hs,"[230,0,46]",1.18
109,Mt,"[235,0,38]",1.19
